state,abrv,capital,population
Alabama,AL,Montgomery,196010
Alaska,AK,Juneau,31534
Arizona,AZ,Phoenix,1651344
Arkansas,AR,Little Rock,201029
California,CA,Sacramento,528306
Colorado,CO,Denver,699288
Connecticut,CT,Hartford,119817
Delaware,DE,Dover,37892
Florida,FL,Tallahassee,198631
Georgia,GA,Atlanta,490270
Hawaii,HI,Honolulu,337088
Idaho,ID,Boise,240713
Illinois,IL,Springfield,111711
Indiana,IN,Indianapolis,871449
Iowa,IA,Des Moines,208734
Kansas,KS,Topeka,125353
Kentucky,KY,Frankfort,28523
Louisiana,LA,Baton Rouge,217665
Maine,ME,Augusta,19058
Maryland,MD,Annapolis,40397
Massachusetts,MA,Boston,617459
Michigan,MI,Lansing,112460
Minnesota,MN,St. Paul,299830
Mississippi,MS,Jackson,143776
Missouri,MO,Jefferson City,42535
Montana,MT,Helena,34690
Nebraska,NE,Lincoln,295222
Nevada,NV,Carson City,59630
New Hampshire,NH,Concord,44606
New Jersey,NJ,Trenton,90048
New Mexico,NM,Santa Fe,89220
New York,NY,Albany,97593
North Carolina,NC,Raleigh,472540
North Dakota,ND,Bismarck,75073
Ohio,OH,Columbus,907865
Oklahoma,OK,Oklahoma City,697763
Oregon,OR,Salem,181620
Pennsylvania,PA,Harrisburg,50267
Rhode Island,RI,Providence,188877
South Carolina,SC,Columbia,137996
South Dakota,SD,Pierre,13954
Tennessee,TN,Nashville,658525
Texas,TX,Austin,966292
Utah,UT,Salt Lake City,202272
Vermont,VT,Montpelier,7988
Virginia,VA,Richmond,226472
Washington,WA,Olympia,56510
West Virginia,WV,Charleston,46692
Wisconsin,WI,Madison,269897
Wyoming,WY,Cheyenne,64831
