Country,Continent,Population,Cases,Pct Cases,Deaths,Pct Deaths
United States,North America,339996563,110332218,32,1191086,0
India,Asia,1428627663,45018134,3,533392,0
France,Europe,64756584,40138560,62,167642,0
Germany,Europe,83294633,38780921,47,180578,0
Brazil,South America,216422446,38210864,18,708638,0
South Korea,Asia,51784059,34571873,67,35934,0
Japan,Asia,123294513,33804284,27,74707,0
Italy,Europe,58870762,26671165,45,195139,0
United Kingdom,Europe,67736802,24812582,37,232112,0
Russia,Europe,144444359,23772535,16,401420,0
Turkey,Asia,85816199,17232066,20,102174,0
Spain,Europe,47519628,13914811,29,121760,0
Australia,Australia/Oceania,26439111,11760483,44,23871,0
Vietnam,Asia,98858950,11624114,12,43206,0
Taiwan,Asia,23923276,10241523,43,19005,0
Argentina,South America,45773884,10080046,22,130685,0
Netherlands,Europe,17618299,8623210,49,22992,0
Mexico,North America,128455567,7702731,6,334947,0
Iran,Asia,89172767,7625463,9,146757,0
Indonesia,Asia,277534122,6821940,2,161954,0
Poland,Europe,41026067,6640611,16,120316,0
Colombia,South America,52085168,6387145,12,143110,0
Greece,Europe,10341277,6101379,59,37869,0
Austria,Europe,8958960,6081287,68,22542,0
Portugal,Europe,10247605,5637114,55,27853,0
Ukraine,Europe,36744634,5557995,15,112418,0
Chile,South America,19629590,5333334,27,64497,0
Malaysia,Asia,34308525,5227322,15,37293,0
Canada,North America,38781291,4869279,13,56990,0
Belgium,Europe,11686140,4849006,41,34376,0
Israel,Asia,9174520,4841772,53,12707,0
North Korea,Asia,26160821,4772813,18,74,0
Thailand,Asia,71801279,4762375,7,34517,0
Czech Republic (Czechia),Europe,10495295,4750998,45,43396,0
Peru,South America,34352719,4524326,13,222161,1
Switzerland,Europe,8796669,4441768,50,14452,0
Philippines,Asia,117337368,4138564,4,66856,0
South Africa,Africa,60414495,4076463,7,102595,0
Romania,Europe,19892812,3512369,18,68728,0
Denmark,Europe,5910913,3183756,54,8814,0
Hong Kong,Asia,7491609,2925231,39,14378,0
Singapore,Asia,6014723,2827115,47,1933,0
Sweden,Europe,10612086,2745098,26,26433,0
Serbia,Europe,7149077,2609964,37,18057,0
New Zealand,Australia/Oceania,5228100,2547458,49,5293,0
Iraq,Asia,45504560,2465545,5,25375,0
Hungary,Europe,10156239,2223831,22,48917,0
Bangladesh,Asia,172954319,2046256,1,29477,0
Slovakia,Europe,5795199,1873332,32,21186,0
Georgia,Asia,3728282,1855289,50,17132,0
Jordan,Asia,11337052,1746997,15,14122,0
Ireland,Europe,5056935,1728993,34,9466,0
Pakistan,Asia,240485658,1581936,1,30664,0
Finland,Europe,5545475,1512868,27,11140,0
Norway,Europe,5474360,1507821,28,5732,0
Kazakhstan,Asia,19606633,1411831,7,13848,0
Lithuania,Europe,2718352,1388750,51,9863,0
Slovenia,Europe,2119675,1355398,64,7100,0
Bulgaria,Europe,6687717,1335742,20,38696,1
